amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,cagr_1yr,cagr_3yr,cagr_5yr,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,Fund_Score
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,15.739999999999998,4.965975370268461,2.5649971528637794,11.0,12.0,3.5,22.0,20.0,69.25
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,24.560000000000002,7.257249253260412,3.82928481023157,1.0,18.0,20.0,21.0,8.0,68.125
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,8.889999999999997,2.4971246466855224,1.5398418728278962,35.0,1.0,3.5,7.0,3.0,68.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,6.830000000000003,2.398670433583283,1.2503396228930486,36.0,4.0,1.0,2.0,6.0,67.75
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,17.12,5.74079303285826,3.321852248928492,7.0,15.0,2.0,33.0,25.0,65.75
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,20.589999999999996,7.184762444002257,4.026435867310818,2.0,19.5,22.5,5.5,30.0,65.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,15.120000000000001,4.711224666833269,2.416367366078642,17.0,7.5,12.0,23.0,15.0,64.1875
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,Very High,24.930000000000007,6.963798275136623,4.362417065288771,3.0,24.5,5.0,28.5,27.0,62.5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,4.259999999999997,2.0189635380863935,1.599975811060439,37.0,2.0,14.0,3.0,5.0,61.625
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,17.430000000000014,4.87210429444922,2.9737927486173765,13.0,15.0,8.0,39.5,7.0,60.3125
